offroad_vehicles,offroad,,wd,,,,,,,,atvs,,,,,,,,,jeep,suvs,,,suv,,,,,,,,,,buggy,,,,,,,,,,,,,,rvs,,,buggies
amusement theme parks,,rollercoasters,rollercoaster,waterparks,zoological,waterpark,,,,zoos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ancient ruins,amphitheatre,etruscan,,,graeco,,,remains,,,,,,,,,,,,,,,sarcophagi,,,,,sarcophagus,tomb,tombs,crusader,,,,,,,,,,,,,,dolmens,pyramids,,,,,
architectural buildings,architecture,,,,mansions,,,churches,,,architecturally,mosques,temples,,palaces,,,,,,,,façades,,forts,modernist,,,,,,,,,,,,,,,,,,,,,,,,,
art galleries,,,,exhibits,,antiques,arts,,exhibitions,,gallery,,,,,,,,paintings,,,,,,,,,,,,,,,,,,,,,antiquities,,,,artwork,,artworks,,,,,
museums,,,,,,,,,exhibits,,galleries,,,,,,,,art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battlefields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,battles,,,,,,reenactments,,,,
bays,,,coves,,lagoons,,inlets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaches,,,,beach,,,,,,,,,,,inlets,reefs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biking,cycling,,bicycle,,bikers,bicycles,cycles,,,,bicycling,,,,,,,cycle,,,,bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jazz blues bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breweries,,microbreweries,,,,brews,,beers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brewpubs,,,,
bridges,,,,,,bridge,,viaducts,,,,,,,footbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canyons,valleys,ravines,cliffs,waterfalls,escarpments,,,,,,,,,,,,,,,ravine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castles,forts,,,,fortresses,,,,,,,,,,,,,,,,fortifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cemeteries,,,,,,monasteries,,,,,,,,,,,,,tombs,,,,,,,,,,dolmens,,,,graves,,graveyards,,,cemetery,,,tombstones,,,runestones,,,,,,,
coffeehouses,,,,,,,lounges,,,cafés,cafes,,,,,,caffes,,,bistros,,,coffeeshops,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comedy clubs,cabaret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bars,pubs,,,,taverns,,,,,,,,izakayas,,,,brewpubs,,,,,,,,,,,,,,inns,,,,,,,,,,,microbreweries,,,,,,,,,
dance clubs discos,nightclubs,,,,discotheques,,,,disco,,,,discothèques,,,,,,djs,,,,,,,,,,partying,,,,,,,,,,,,,,,,,,clubbing,,,,
department stores,supermarkets,,,,,,grocery,,supermarket,,,,,,,,,pharmacy,,,walmart,,,,,,,,,,,,,,,,,,,,tesco,lidl,groceries,,,superstores,,,,,
deserts,,,,plains,,,,,desert,steppes,,,,,,,,,,,wadis,,,,steppe,,oases,,,,,,,,,,,,,,,,,,,,,,,,
theaters,theatres,theater,,cinemas,cinema,cinemark,,theatre,,,movies,,,,,cineplex,,multiplex,,,,,,,,cineworld,,,,,thearter,,,,,,,multiplexes,,,,,,,,,,,,,
hiking,hiking,trekking,,,,,,,,hillwalking,,,,,,,,mountaineering,,,,,,,,,,,hikes,,,treks,,,,,,,,,,,,,,,,,,,
factory outlets,,,,,,,,,,outlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farms,orchards,farming,,ranches,vineyards,,farm,,,shacks,,cattle,crops,fields,,,hamlets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agriculture,,,,
flea street markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forests,forests,,forest,swamps,,,,woodland,rainforests,,,jungles,,,,woods,rainforest,,,mangroves,,,,flatwoods,,jungle,,,,,,,,,,,,,bushland,,,,,,,,,,,,
gardens,garden,shurakuen,,,,,,,,,,,,,,,arboretum,jindai,Botanical,,,,,,,,,,,,,,,,,,,,,,kruidtuin,,,,,,,,,,
golf_courses,golf,putt,,,,,,,,,,,,,,,,,,golfing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boat tours,,,boats,tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monuments,,,,,,,,memorials,,,,,,shrines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historic villages,hamlets,towns,historical,communities,castles,churches,charming,museums,village,neighbourhoods,medieval,buildings,quaint,graveyards,archipelagos,settlements,altstadt,adjoining,nearby,monasteries,picturesque,temples,lighthouses,mosques,districts,landmarks,pueblos,forts,neighborhoods,municipalities,canals,vineyards,mansions,countryside,townships,cemeteries,woods,windmills,islets,palaces,synagogues,bays,ponds,parks,castle,tombs,bodegas,courtyards,architecture,walled,
horseback riding,,,,horse,,,,,,,,,,,,,,,,,,,,,horses,,,,,,pony,,,,,,,,,,,,,,,,,,,,
hot springs geysers,,,,,,,,,,,,,,,,,,,,,,fumaroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
islands,,island,,,atolls,archipelagos,,,,,,,,peninsula,,,isles,,,islets,,,,,archipelago,cyclades,,,,,,,,,,,,,,,,,,,,,,,,,
lakes,,,,,lagoons,,,,,,,,,,,,,,,,,,,,lake,,lochs,,,,,,,,,,,,,,,,,,,,,,,,
landmarks,sights,monuments,museums,buildings,sites,attractions,structures,forts,cemeteries,battlefields,churches,temples,relics,artifacts,landmark,phenomena,artefacts,galleries,treasures,streetscapes,constructions,architecturally,fortifications,mosaics,architecture,viewpoints,memorials,monasteries,exhibits,icons,evolutionary,mosques,castles,caves,significance,fortresses,zoos,shipwrecks,lighthouses,ruins,literature,sarcophagi,collections,murals,mausoleums,neighborhoods,mansions,examples,skyscrapers,windmills,
viewpoints,lookouts,vistas,,,,,,,,,,,,,,,,panoramas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shopping,hawker,shop,malls,outlet,mall,center,centre,vendors,,,,,retail,,commercial,plaza,,,foodcourt,marketplace,bazaar,,,,,,,,entertainment,urban,,,,,,,,,,,,,,,superstore,recreational,,,,,
marina,harbour,pier,jetty,,waterfront,,promenade,seafront,lighthouse,slipway,docks,wharf,boardwalk,harbor,dock,,bay,,shearwater,,,,malecon,,,,,,,,lakebay,,,,,,port,,,,,,,,,anchor,,,,,
motorcycle trails,paths,motorbike,,bike,,,,,,,mopeds,,motorcycles,,motorbikes,scooters,,,,,,,,,scooter,moped,lanes,,tricycle,,,,,,,,motorbiking,,,,rentals,cc,,moto,,,rides,ojeks,pathways,hiring,
mountain biking,,,,,,,trails,,,,,,cycling,,,,,,,,,,,trail,,,,,,,,,,,,,,,,,,,,,treks,,,,,,
mountains,hills,plateau,cliffs,hillsides,,peaks,,slopes,summits,,ridges,,foothills,,,valley,canyons,valleys,plateaus,ridge,rocks,,mountain,,,,,massif,,,fjords,,lagoon,sierras,slope,buttes,,promontory,highlands,escarpment,meadows,mountainsides,ravine,canyon,,,,waterfall,rivers,ravines,
movie theaters,theatres,cinema,cinemark,theater,multiplex,theatre,productions,,movies,cinemas,arthouse,,drama,amc,bollywood,imax,,performances,comedy,cineworld,,,,,animation,films,,,venues,,screens,,,television,,screen,actors,,,,,,,,multimedia,cineplex,,,,,
caves,,,,blowholes,,,cave,arches,,rocks,chasms,,,caverns,,stalactites,,,,,swimthroughs,,,,,,,,,,sinkholes,,,,,,,,,cenotes,,,,,tunnels,grottos,,coves,,,
national parks,wetland,,forest,,,,,,parks,grassland,,waterplace,reserves,acre,,parkland,,forests,nature,mangrove,,,dendrological,,lakes,,plants,flora,,,nature,,swamps,,grasslands,,,,,np,savannas,,broadleaved,,,,campgrounds,,,,
wildlife reserves,reserve,preserve,,zoological,,,habitats,,parks,,,ecosystems,animals,,waterfowl,,bird,,,,,,environments,,elephants,habitat,plants,fauna,,,nature,,,,,,,wildlife,primates,,conservancy,,life,animals,marine,wild,,,,,
operas ballets,dances,musicals,,,costumes,dramas,singing,poetry,,masks,performances,,concerts,,,,,,performers,kathakali,mysticism,,percussion,productions,,,,,,actors,singers,events,themes,grotesque,ornaments,,,,music,,,,,,,recitals,,,,,
concerts,performances,,music,,events,,,parades,,jazz,,performance,,,,concert,orchestras,,,,,,gigs,,,bands,,acoustic,,,,,recitals,,singing,,,,venues,djs,,,,rhythmic,drumming,trance,,,percussion,,
lagoons,,,ponds,,,,,,,,basins,,,,,,,,,,,,,,,,,,,,,,,,,,,oases,reservoirs,,,,,,,,,,,,
rivers,,streams,,,,,canals,,,waterways,,,,creeks,,gorges,,,,,,,,,,,,,,,,,,,,,,,,rapids,,,,,,,,,,river,
scenic drives,scenic,beautiful,meandering,serene,romantic,spectacular,,pristine,tranquil,breathtaking,gorgeous,trails,loops,exciting,stunning,relaxing,enjoyable,picturesque,sightseeing,challenging,untamed,ambangeg,unspoilt,sensational,meanders,byways,,,,,,,,,,,,,,,,,,,,,,,,,
neighborhood walks,neighbourhood,districts,,,,,neighborhoods,,,,,,neighbourhoods,,,,,,,,,,,,,,walks,strolls,,,,,,,,,,,,,,,,,,,,,,,
ski snowboard areas,snow,snowshoeing,snowboarding,lifts,apres,skiing,pistes,skipiste,piste,,snowmobiling,,,luge,,,huts,,,,,,,,,,,chalets,sport,,,,,,,,,,,,,,,,,,,,,,
spas,,baths,resorts,,pools,spa,,,,,,massages,,massage,,,,,,treatments,reflexology,,,,,,,,,,,,saunas,,,,clinics,,,,,,,,,,,pool,,,
sport events,,competitions,sports,,,tournaments,,,,,,gatherings,,,,,,,contests,,,,,games,,,event,,,professional,sporting,venues,activity,,,,,,,,,,,,,,,,,,
university,college,institute,campus,academy,lecture,student,students,teacher,library,professor,,,,,,,,collage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statues,murals,sculptures,,,,,sculpture,,,,,,,,,,,,,deities,figures,buddhas,stones,,,,replicas,,,,,,icons,,objects,,,,,,,,,,,inscriptions,,,,,
sightseeing tours,excursions,,tour,,,,,,walks,,,,,,expeditions,guides,packages,,,,arranging,,,guided,unguided,tastings,charters,outings,cycling,birdwatching,operators,daytrips,boating,trails,kayak,opportunities,mountainbiking,rollerblade,activities,thrilling,watersports,excursion,pony,boats,possibilities,snowmobiles,touring,personalized,visits,routes,
town centers squares plazas,plazas,square,center,centres,,,,,towns,,,,,downtown,downtowns,courtyards,,,,,,,,,,,,,,,,,piazzas,,,squares,,,,,,,,,,,,,,,
urban parks,park,,recreational,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valleys,canyons,,wadis,ravines,,,,,gorges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ravine,,,
volcanos,,volcanoes,,,,,,,,,,,,,,,,seismically,,lava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water parks,pools,waters,tubs,park,springs,baths,,,,,,pool,showers,fountains,,,,,,,,,,,,,,,,,,,amusements,,,,,,,,,,,,,,,,,,
waterfalls,,,,,,,,,streams,,,,,,,,,,,waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wineries,wine,vineyards,distilleries,tavernas,grape,producers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flavors,,,
zoos,zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surfing,kitesurfing,windsurfing,,surf,,,,kiteboarding,,,,,,,,,,kite,,surfers,,,,,,,,,,,,,windsurf,parasailing,,,,windsurfers,,,,,,,,,,,,,
water sports,sport,,boating,swimming,,,,watersports,,windsurfing,,,wakeboarding,,,angling,,,,surfing,,canoeing,,,surf,,,,,,,,,,,,,,,,,sailing,,,,,,seawater,,,
kayaking,,canoeing,,,,,,,,,,,,,,,,,,kayaks,,,paddling,,kayak,,,,,,,,,,,,,,,,,,,,,,,,,,
rafting,river,tubing,water,,,,,,,,,,,,,,,,,,,,,raft,,,,,,,,,,,,,,,,,,,,whitewater,,,,,,,
scuba diving,snorkeling,snorkelling,diving,freediving,coral,,,snuba,,,,snorkel,,,,,,dive,,,,padi,training,,,,,instructors,,diver,,,,,,,,snorkellers,,,,,,divers,,,,,,,
waterskiing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jetski,,,,jetskiing,,,,,,,,,,,,,,,
historical tours,historic,excursions,,archaeological,archeological,,,sightseeing,architectural,,,,tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fishing,boating,,,angling,,,,,,,,,yachting,,,,,,,,,,shrimping,,,,,,,,,,,,,,,fishermen,,,,halibut,,,,,fishery,,,,
whale watching,spotting,dolphin,whale,,,,,,,,,,,,,dolphins,,,,,,,whales,,,,,,,,,,foraging,,,,,,,,,,,,,,humpback,,seal,,
sailing,sail,boating,yachting,wind,,,,,,,,,,,,dinghies,,,,,,charters,watersports,,,,,,,,,,,,,,,,,,,,,,,,,,powerboat,,
skydiving,,paragliding,,,,,,,,,,,,,,,,,,,gliding,,,,,,,,,,,,,,,skydive,,,,,,,,,,,,,,parachuting,
cathedrals and churches,mosques,,,,,monasteries,,,,,,synagogues,,,temples,,,,,pagodas,,baroque,gothic,,,,,,,,shrines,,,,,,,,,,chapels,,,,,,gompas,,,,
live music bands,dance,,concerts,jazz,acoustic,reggae,,dancing,dj,djs,singing,reggaeton,salsa,,,indie,,gigs,trance,dances,musicians,techno,,band,,drumming,,,,,sertanejo,,merengue,musical,performers,,,,,,,,blues,punk,,playing,,songs,talent,,
festivals,,concerts,,,fairs,parades,celebrations,,,festivities,,carnivals,performances,,,funfair,,,,,festival,,,,,fiestas,,,,carnival,,,,,,,,,,musicals,yearly,,,,,fireworks,,,parties,music,
camping,,camp,picnicking,caravan,,tent,,rv,backcountry,campgrounds,,campfire,,,caravanning,,tenting,picnics,,hammocks,picnic,campsites,mattresses,sleeping,,,trailer,,tents,,campground,,,,,,caravaning,tented,,,picknicking,campsite,campers,,,,campings,restful,,,
lodging,accommodation,,,,accommodations,budget,,,lodgings,,,,,,amenities,,trailer,pensions,,,,lodges,hotels,,campgrounds,,,,,,,,chalets,,,,,hostels,,,cabins,,,,,,,,,,
unesco,heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temples,monasteries,mosques,shrines,,,churches,,,,,,,pagodas,stupas,,murals,ruins,relics,,deities,,,,,dolmens,,,,,,,,,,,,,,cathedrals,,,,,daoist,taoist,temple,,,religions,,